schedule_id,date,segment_id,train_id,scheduled_arrival,scheduled_departure
SCH_001,2026-10-01,SEG_105,TRN_1144,00:53,01:15
SCH_002,2026-10-01,SEG_105,TRN_1106,01:46,02:30
SCH_003,2026-10-01,SEG_105,TRN_1009,02:15,02:43
SCH_004,2026-10-01,SEG_105,TRN_1047,02:32,03:01
SCH_005,2026-10-01,SEG_105,TRN_1113,03:30,04:05
SCH_006,2026-10-01,SEG_105,TRN_1015,04:04,04:27
SCH_007,2026-10-01,SEG_105,TRN_1034,04:34,04:57
SCH_008,2026-10-01,SEG_105,TRN_1012,05:02,05:24
SCH_009,2026-10-01,SEG_101,TRN_1144,23:15,23:45
SCH_010,2026-10-01,SEG_102,TRN_1144,23:50,00:20
